SlNo,Drug_Name,Reason,Description,Company_Name,NSE_Symbol,Rating,Industry
3974,Pronil Capsule 6'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
3975,Prothiaden 75mg Tablet 10'SProthiaden 25mg Tablet 10'SProthiaden 50mg Tablet 15'SProthiaden 75mg Tablet 15'SProthiaden 50mg Tablet 10'SProthiaden M Tablet 10'SProthiaden 25mg Tablet 15'S,Depression,ÿused to treat depression,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
3976,Prothiaden M 75mg/1500mcg Tablet 15'SProthiaden M 50mg/1500mcg Tablet 15'SProthiaden M 50mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
3977,Provanol Forte 0.5/20mg Tablet 10'S,Depression,ÿused to treat depression,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
3978,Prugone 25Mg Tablet 10's,Depression,reduce and gradually remove the symptoms related to your depression,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
3979,PSYCOLITH CR 450mg Tablet 10's,Depression,reduce depression,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
3980,Pxn SR 25mg Tablet 10'S,Depression,depressive disorder and depression,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
3981,QUESTA 10mg Tablet 10'sQUESTA 20mg Tablet 10's,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
3982,Quitanx Tablet 10'S,Depression,ÿused to treat depression,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
3983,Qxt CR 25mg Tablet 10'SQxt CR 12.5mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
3984,Raxit 10mg Tablet 10'S,Depression,reduce depression,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
3985,Recita 10mg Tablet 10'SRecita 20mg Tablet 10'SRecita 5mg Tablet 10'S,Depression,depressive disorder and depression,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
3986,Recita Plus Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
3987,RELIDEP 25mg Tablet 10'sRELIDEP 75mg Tablet 10's,Depression,ÿused to treat depression,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
3988,RELIXOL Tablet 10's,Depression,reduce and gradually remove the symptoms related to your depression,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
3989,Restfull Tablet 10'S,Depression,reduce depression,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
3990,Restovel D Tablet 10'S,Depression,depressive disorder and depression,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
3991,Revilife 50mg Tablet 10'SRevilife 100mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
3992,Rexipra LS Tablet 10'SRexipra 15mg Tablet 10'SRexipra 5mg Tablet 10'SRexipra 10mg Tablet 10'SRexipra 20mg Tablet 10'S,Depression,ÿused to treat depression,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
3993,Rexipra Forte Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
3994,Rexipra Plus Tablet 10'S,Depression,reduce depression,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
3995,REXIRA LS Tablet 10'S,Depression,depressive disorder and depression,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
3996,Rimarex 150mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
3997,S Celepra 10mg Tablet 10'SS Celepra 20mg Tablet 10'SS Celepra 5mg Tablet 10'S,Depression,ÿused to treat depression,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
3998,S CITADELM 20mg Tablet 10'sS CITADELM 10mg Tablet 10's,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
3999,S Citadep 5mg Tablet 10'SS Citadep 10mg Tablet 10'SS Citadep 20mg Tablet 10'S,Depression,ÿused to treat depression,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
4000,S Citapad 10Mg Tablet 10'sS Citapad 20Mg Tablet 10'sS Citapad 5Mg Tablet 10's,Depression,reduce and gradually remove the symptoms related to your depression,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
4001,S R T 50mg Tablet 10'SS R T 25mg Tablet 10'SS R T 100mg Tablet 10'S,Depression,reduce depression,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
4002,S Vocita 10mg Tablet 10'SS Vocita 5mg Tablet 10'SS Vocita 20mg Tablet 10'S,Depression,depressive disorder and depression,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
4003,S Vocita E 0.5/10mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
4004,Santa 50mg Tablet 10'S,Depression,ÿused to treat depression,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
4005,Sarotena 25mg Tablet 10'SSarotena 50mg Tablet 10'SSarotena 10mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
4006,SC Talo 5mg Tablet 10'SSC Talo 20mg Tablet 10'SSC Talo 10mg Tablet 10'S,Depression,reduce depression,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
4007,SELBITOR 20mg Tablet 10's,Depression,depressive disorder and depression,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
4008,Sensaril Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
4009,Sensival 25mg Tablet 10'S,Depression,ÿused to treat depression,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
4010,Senta 25mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
4011,Sentosa 75mg Tablet 10'SSentosa 37.5mg Tablet 10'S,Depression,reduce depression,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
4012,SENTRAL 25mg Tablet 10'sSENTRAL 50mg Tablet 10's,Depression,depressive disorder and depression,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
4013,SENTRAL PLUS Tablet 10's,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
4014,Serbest 50mg Tablet 10'SSerbest 25mg Tablet 10'S,Depression,ÿused to treat depression,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
4015,Serdep 100mg Tablet 10'SSerdep 200mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
4016,Serena 50mg Tablet 10'S,Depression,reduce depression,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
4017,Serenata 50mg Tablet 10'SSerenata 100mg Tablet 10'S,Depression,depressive disorder and depression,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
4018,Serene 50mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
4019,Serjet 25mg Tablet 10'SSerjet 100mg Tablet 10'SSerjet 50mg Tablet 10'S,Depression,ÿused to treat depression,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
4020,Serlift 100mg Tablet 10'SSerlift 25mg Tablet 10'SSerlift 50mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
4021,Serlin 100mg Tablet 10'SSerlin 50mg Tablet 10'S,Depression,reduce depression,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
4022,Sermind 100mg Tablet 10'SSermind 25mg Tablet 10'SSermind 50mg Tablet 10'S,Depression,depressive disorder and depression,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
4023,Seroflex 50mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
4024,Serozac 50mg Tablet 10'S,Depression,ÿused to treat depression,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
4025,Serta 50mg Tablet 15'SSerta 25mg Tablet 10'SSerta 25mg Tablet 15'SSerta 50mg Tablet 10'SSerta 100mg Tablet 10'SSerta 100mg Tablet 15'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
4026,Sertacad 50mg Tablet 10'SSertacad 100mg Tablet 10'S,Depression,ÿused to treat depression,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
4027,Sertagress 25mg Tablet 10'SSertagress 50mg Tablet 10'SSertagress 100mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
4028,Sertee 25mg Tablet 10'SSertee 100mg Tablet 10'SSertee 50mg Tablet 10'S,Depression,reduce depression,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
4029,Sertil 50mg Tablet 10'SSertil 100mg Tablet 10'S,Depression,depressive disorder and depression,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
4030,Sertima 25mg Tablet 10'SSertima 50mg Tablet 10'SSertima 100mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
4031,Setalin 50mg Tablet 10'S,Depression,ÿused to treat depression,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
4032,Setraline 50mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
4033,Shine 75mg Tablet 10'SShine 10mg Tablet 20'SShine 25mg Tablet 20'S,Depression,reduce depression,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
4034,SIDOPIN 25mg Capsule 10'sSIDOPIN 10mg Capsule 10's,Depression,depressive disorder and depression,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
4035,Simelatin 25mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
4036,Sitaram 5mg Tablet 10'SSitaram 10mg Tablet 10'S,Depression,ÿused to treat depression,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
4037,Smoquit SR 150mg Tablet 10,Depression,reduce and gradually remove the symptoms related to your depression,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
4038,Solopose Plus Tablet 10'S,Depression,reduce depression,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
4039,Solzam 5mg Tablet 10'S,Depression,depressive disorder and depression,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
4040,Somafresh 0.5/10mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
4041,Somafresh Plus Tablet 10'S,Depression,ÿused to treat depression,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
4042,Somaron 3mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
4043,Sorest 100mg Tablet 10'SSorest 50mg Tablet 10'S,Depression,reduce depression,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
4044,Spectra 10mg Capsule 10'SSpectra 75mg Capsule 10'SSpectra 25mg Capsule 10'S,Depression,depressive disorder and depression,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
4045,SRI 10mg Tablet 10'SSRI 5mg Tablet 10'SSRI 20mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
4046,Stablon Tablet 10'S,Depression,ÿused to treat depression,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
4047,Stalopam 20mg Tablet 10'SStalopam 5mg Tablet 10'SStalopam 40mg Tablet 10'SStalopam 10mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
4048,Sulpitac MD 100mg Tablet 10'S,Depression,ÿused to treat depression,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
4049,Sulpitac OD 400mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
4050,Suprabenz Plus 5mg Tablet 10'SSuprabenz Plus 10mg Tablet 10'S,Depression,ÿused to treat depression,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
4051,Survector 100mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
4052,Swenta 20mg Tablet 10'S,Depression,reduce depression,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
4053,Symbal 1500mg Tablet 10'SSymbal 30mg Tablet 10'SSymbal 500mg Tablet 10'SSymbal 60mg Tablet 10'SSymbal 20mg Tablet 10'SSymbal 40mg Tablet 10'S,Depression,depressive disorder and depression,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
4054,Sympta 30mg Tablet 10'SSympta 60mg Tablet 10'SSympta 20mg Tablet 10'SSympta 40mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
4055,Szetalo 20mg Tablet 10'SSzetalo 10mg Tablet 10'SSzetalo 5mg Tablet 10'S,Depression,ÿused to treat depression,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
4056,Tadamit 25mg Tablet 10'STadamit 75mg Tablet 10'STadamit 10mg Tablet 10'STadamit 20mg Tablet 4'S,Depression,reduce and gradually remove the symptoms related to your depression,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
4057,Talendep 75mg Tablet 10'STalendep 25mg Tablet 10'S,Depression,reduce depression,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
4058,Talo S 5mg Tablet 10'STalo S 20mg Tablet 10'STalo S 10mg Tablet 10'S,Depression,depressive disorder and depression,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
4059,Taloprex 5mg Tablet 10'STaloprex 10mg Tablet 10'STaloprex 20mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
4060,Taloz 20mg Tablet 10'STaloz 10mg Tablet 10'S,Depression,ÿused to treat depression,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
4061,Tetradep 10mg Tablet 10'STetradep 20mg Tablet 10'STetradep 30mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
4062,Theoxetin 40mg Tablet 10'S,Depression,reduce depression,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
4063,THIEPIN 75mg Tablet 10'sTHIEPIN 25mg Tablet 10's,Depression,depressive disorder and depression,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
4064,THPIN 25mg Tablet 10'sTHPIN 75mg Tablet 10's,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
4065,Topdep S 20mg Tablet 10'STopdep S 10mg Tablet 10'S,Depression,ÿused to treat depression,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
4066,Tralin 100mg Tablet 10'STralin 50mg Tablet 10'STralin 25mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
4067,Tricita 5Mg Tablet 10'sTricita 10Mg Tablet 10's,Depression,reduce depression,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
4068,Tridon 25Mg Tablet 10'sTridon 50Mg Tablet 10's,Depression,depressive disorder and depression,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
4069,Trima 150mg Tablet 10'STrima 300mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
4070,Triplent 25mg Tablet 10'STriplent 10mg Tablet 10'STriplent 75mg Tablet 10'S,Depression,ÿused to treat depression,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
4071,Triptaz 25mg Tablet 10'STriptaz 75mg Tablet 10'STriptaz 10mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
4072,Tritin 10Mg Tablet 10'sTRITIN 60mg Capsule 10'sTritin 20Mg Tablet 10'sTritin 40Mg Tablet 10's,Depression,ÿused to treat depression,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
4073,Trixide 25mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
4074,Trixide H Tablet 10'S,Depression,reduce depression,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
4075,Trizac Capsule 10'S,Depression,depressive disorder and depression,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
4076,Truzap 10/0.25mg Tablet 10'STruzap 5/0.25mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
4077,Tryptomer 25mg Tablet 10'STryptomer 10mg Tablet 30'STryptomer G 100mg Tablet 10'STryptomer 50mg Tablet 15'STryptomer 25mg Tablet 30'STryptomer 75mg Tablet 10'STryptomer G 300mg Tablet 10'S,Depression,ÿused to treat depression,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
4078,Tynept Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
4079,Tynept OD Tablet 10'S,Depression,reduce depression,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
4080,Ulozet 30mg Capsule 10Ulozet 40mg Capsule 10Ulozet 20mg Capsule 10,Depression,depressive disorder and depression,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
4081,Unidex 50mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
4082,Unidex 100mg Tablet 10'S,Depression,ÿused to treat depression,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
4083,User 25mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
4084,Uvox 100mg Tablet 10'SUvox 50mg Tablet 10'S,Depression,reduce depression,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
4085,Uvox CR 100mg Tablet 10'SUVOX CR 150mg Tablet 10's,Depression,depressive disorder and depression,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
4086,Valz 40mg Tablet 10'SValz 20mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
4087,Vendep D 100mg Tablet 10'S,Depression,ÿused to treat depression,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
4088,Veniz XR 75mg Capsule 10'SVeniz XR 37.5mg Capsule 10'SVeniz XR 150mg Capsule 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
4089,Venla 75mg Tablet 10'S,Depression,reduce depression,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
4090,Venla XR 150mg Capsule 10'SVenla XR 75mg Capsule 10'SVenla XR 37.5mg Capsule 10'S,Depression,depressive disorder and depression,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
4091,Venlift OD 37.5mg Capsule 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
4092,Venlift OD 150mg Capsule 10'SVenlift OD 75mg Capsule 10'S,Depression,ÿused to treat depression,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
4093,Venlite OD 100mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
4094,Venlite OD 50mg Tablet 10'S,Depression,ÿused to treat depression,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
4095,Venlor 150mg Capsule 10'SVenlor XR 150mg Capsule 10'SD Venlor 50mg Tablet 10'SVenlor 25mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
4096,Venlor XR 37.5mg Capsule 10'SVenlor XR 75mg Capsule 10'S,Depression,reduce depression,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
4097,Venpower 50mg Tablet 10'SVenpower 200mg Tablet 10'SVenpower 100mg Tablet 10'S,Depression,depressive disorder and depression,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
4098,Ventab XL 75mg Tablet 10'SVentab Dxt 25mg Tablet 10'SVentab XL 37.5mg Tablet 10'SVentab Dxt 50mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
4099,Ventab Dxt 100mg Tablet 10'S,Depression,ÿused to treat depression,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
4100,Ventab XL 150mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
4101,VENTIN 37.5mg Tablet 10's,Depression,reduce depression,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
4102,VENTIN XR 75mg Tablet 10's,Depression,depressive disorder and depression,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
4103,Venz OD 50mg Tablet 10'SVenz OD 100mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
4104,Vetodep 60mg Capsule 10'SVetodep 40mg Capsule 10'SVetodep Capsule 10'S,Depression,ÿused to treat depression,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
4105,Vibrex 40mg Tablet 10'SVibrex 20mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
4106,Vilamid 40mg Tablet 10'SVilamid 20mg Tablet 10'S,Depression,reduce depression,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
4107,Vilano 40mg Tablet 10Vilano 20mg Tablet 10,Depression,depressive disorder and depression,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
4108,Vilarest 20mg Tablet 10'SVilarest 40mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
4109,Vilaxel 40mg Tablet 10'SVilaxel 20mg Tablet 10'S,Depression,ÿused to treat depression,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
4110,Vilazine 40mg Tablet 10'SVilazine 20mg Tablet 10'S,Depression,reduce and gradually remove the symptoms related to your depression,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
4111,Vilodon 20mg Tablet 10'SVilodon 40mg Tablet 10'S,Depression,reduce depression,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
4112,Vinsure 20mg Tablet 10'SVinsure 40mg Tablet 10'S,Depression,depressive disorder and depression,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
4113,Vizatex 20mg Tablet 10'SVizatex 40mg Tablet 10'S,Depression,prevents depression and anxiety disorder (chronic feeling of anxiety or nervousness),Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
4114,VOCITA 10mg Tablet 10'sVOCITA 5mg Tablet 10'sVOCITA 20mg Tablet 10'sVOCITA 40mg Tablet 10's,Depression,ÿused to treat depression,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
